ticker,mvo_weight,bl_weight,mv_weight,bull_proba
MSFT,3.212531686935533e-17,0.36295515241892684,5.551115123125783e-17,0.7070888
TSLA,0.9461882097705469,0.3406741767048501,1.0,0.6261676
SPY,0.05381179022945304,0.296370670876223,0.0,0.46526375
