date,portfolio,invested,daily_return
2022-04-08,100019.84126984127,False,0.0
2022-04-11,100039.68647644242,False,0.0001984126984126977
2022-04-12,100059.53562058457,False,0.0001984126984126977
2022-04-13,100079.38870304897,False,0.0001984126984126977
2022-04-14,100099.24572461704,False,0.0001984126984126977
2022-04-18,100119.10668607033,False,0.0001984126984126977
2022-04-19,100138.97158819059,False,0.0001984126984126977
2022-04-20,100158.84043175967,False,0.0001984126984126977
2022-04-21,100178.71321755962,False,0.0001984126984126977
2022-04-22,100198.58994637262,False,0.0001984126984126977
2022-04-25,100218.47061898102,False,0.0001984126984126977
2022-04-26,100238.35523616734,False,0.0001984126984126977
2022-04-27,100258.24379871419,False,0.0001984126984126977
2022-04-28,100278.1363074044,False,0.0001984126984126977
2022-04-29,100298.03276302095,False,0.0001984126984126977
2022-05-02,100317.93316634695,False,0.0001984126984126977
2022-05-03,100337.83751816567,False,0.0001984126984126977
2022-05-04,100357.74581926054,False,0.0001984126984126977
2022-05-05,100377.65807041516,False,0.0001984126984126977
2022-05-06,100397.57427241326,False,0.0001984126984126977
2022-05-09,100417.49442603874,False,0.0001984126984126977
2022-05-10,100437.41853207565,False,0.0001984126984126977
2022-05-11,100457.3465913082,False,0.0001984126984126977
2022-05-12,100477.27860452076,False,0.0001984126984126977
2022-05-13,100497.21457249785,False,0.0001984126984126977
2022-05-16,100517.15449602413,False,0.0001984126984126977
2022-05-17,100537.09837588445,False,0.0001984126984126977
2022-05-18,100557.04621286379,False,0.0001984126984126977
2022-05-19,100576.99800774729,False,0.0001984126984126977
2022-05-20,100596.95376132026,False,0.0001984126984126977
2022-05-23,100616.91347436814,False,0.0001984126984126977
2022-05-24,100636.87714767654,False,0.0001984126984126977
2022-05-25,100656.84478203124,False,0.0001984126984126977
2022-05-26,100676.81637821815,False,0.0001984126984126977
2022-05-27,100696.79193702336,False,0.0001984126984126977
2022-05-31,100716.77145923309,False,0.0001984126984126977
2022-06-01,100736.75494563373,False,0.0001984126984126977
2022-06-02,100756.74239701183,False,0.0001984126984126977
2022-06-03,100776.73381415408,False,0.0001984126984126977
2022-06-06,100796.72919784737,False,0.0001984126984126977
2022-06-07,100816.72854887869,False,0.0001984126984126977
