threshold,trades,coverage,accuracy
0.5,2010,1.0,0.5761194029850746
0.52,1714,0.8527363184079602,0.5869311551925321
0.55,1305,0.6492537313432836,0.5961685823754789
0.58,957,0.4761194029850746,0.6144200626959248
0.6,758,0.37711442786069654,0.6266490765171504
0.63,477,0.2373134328358209,0.6310272536687631
0.65,339,0.16865671641791044,0.6283185840707964
